# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
11                      	1.4587493254816228e-01	7.3537091614962621e-02	7.2337840933199643e-02	-1.1612997108211244e-03	9.7687384092894722e-02	-9.8848683803715837e-02	9.8268033948305286e-02	5.9962534088149394e-04	7.5321043603299470e-02	-4.4801959167427076e-21	7.5321043603299470e-02	-7.5321043603299470e-02
12                      	1.4221514448811176e-01	7.0738141946411134e-02	7.1477002541700613e-02	7.1547893088158088e-04	9.4149146055491323e-02	-9.3433667124609737e-02	9.3791406590050530e-02	-3.6943029764473727e-04	7.3431349114776640e-02	-4.3643887574374771e-21	7.3431349114776640e-02	-7.3431349114776640e-02
13                      	1.1512704538365995e-01	5.9978335876210119e-02	5.5148709507449829e-02	-4.6767900912678779e-03	7.9953750063622306e-02	-8.4630540154890188e-02	8.2292145109256254e-02	2.4148131843801440e-03	5.9444683564112012e-02	-2.6651305758300288e-21	5.9444683564112012e-02	-5.9444683564112012e-02
14                      	7.3207938600019951e-02	3.9949630174557119e-02	3.3258308425462839e-02	-6.4795710608318022e-03	5.3355732924587201e-02	-5.9835303985419003e-02	5.6595518455003102e-02	3.3456608745471390e-03	3.7800177447069129e-02	-1.6478039224936679e-21	3.7800177447069129e-02	-3.7800177447069129e-02
15                      	7.5460237875853597e-02	4.1182837560502700e-02	3.4277400315350905e-02	-6.6869107500520698e-03	5.4897801070859030e-02	-6.1584711820911096e-02	5.8241256445885063e-02	3.4527186225759010e-03	3.8963129360734872e-02	-9.0481258092587231e-22	3.8963129360734872e-02	-3.8963129360734872e-02
16                      	8.1041495606230682e-02	4.2018180236765672e-02	3.9023315369465010e-02	-2.9000906626392526e-03	5.5962258898016509e-02	-5.8862349560655766e-02	5.7412304229336138e-02	1.4974324336503328e-03	4.1844955247661596e-02	-1.0577999505490413e-21	4.1844955247661596e-02	-4.1844955247661596e-02
17                      	8.5003236155632989e-02	4.0466270938006567e-02	4.4536965217626422e-02	3.9418748403913812e-03	5.3792792413876953e-02	-4.9850917573485566e-02	5.1821854993681256e-02	-2.0353471398099274e-03	4.3890559845065437e-02	-1.6649955964080273e-21	4.3890559845065437e-02	-4.3890559845065437e-02
18                      	8.8210047495652325e-02	3.9296440967179873e-02	4.8913606528472452e-02	9.3128248789731971e-03	5.2182822163705227e-02	-4.2869997284732030e-02	4.7526409724218628e-02	-4.8085827806462894e-03	4.5546364393179974e-02	-2.2260816086417264e-21	4.5546364393179974e-02	-4.5546364393179974e-02
19                      	8.7925135213670291e-02	3.7447642519437656e-02	5.0477492694232642e-02	1.2617513143947027e-02	4.9720888267366606e-02	-3.7103375123419574e-02	4.3412131695393090e-02	-6.5149250873974881e-03	4.5399252822744769e-02	-2.7261916020261384e-21	4.5399252822744769e-02	-4.5399252822744769e-02
20                      	8.4430640672735036e-02	3.5478556663087045e-02	4.8952084009647984e-02	1.3047149898884957e-02	4.7088974245933869e-02	-3.4041824347048916e-02	4.0565399296491396e-02	-6.7367636732804720e-03	4.3594905968274957e-02	-3.2651112059458986e-21	4.3594905968274957e-02	-4.3594905968274957e-02
21                      	8.0813080746234889e-02	3.4068491389732947e-02	4.6744589356501942e-02	1.2274955626048458e-02	4.5221353558846239e-02	-3.2946397932797786e-02	3.9083875745822012e-02	-6.3380489833845012e-03	4.1727015548709487e-02	-3.6433835694417544e-21	4.1727015548709487e-02	-4.1727015548709487e-02
22                      	7.5051150929996077e-02	3.2091354938135919e-02	4.2959795991860152e-02	1.0524503045694966e-02	4.2570753400279791e-02	-3.2046250354584825e-02	3.7308501877432308e-02	-5.4342205268621173e-03	3.8751901460586220e-02	-3.6587697838112547e-21	3.8751901460586220e-02	-3.8751901460586220e-02
23                      	7.4539043648480061e-02	3.2665819541427964e-02	4.1873224107052097e-02	8.9160310034208483e-03	4.3460411221532283e-02	-3.4544380218111438e-02	3.9002395719821857e-02	-4.6037022828120701e-03	3.8487480053790324e-02	-3.1152720738909069e-21	3.8487480053790324e-02	-3.8487480053790324e-02
24                      	6.9695532661866150e-02	3.2245185427387822e-02	3.7450347234478334e-02	5.0404414967395467e-03	4.2949300891688448e-02	-3.7908859394948903e-02	4.0429080143318676e-02	-2.6025809035452540e-03	3.5986582224100817e-02	-2.1922482945348394e-21	3.5986582224100817e-02	-3.5986582224100817e-02
25                      	6.6089715799264856e-02	3.2484187671047389e-02	3.3605528128217474e-02	1.0858549996647002e-03	4.3400998839102672e-02	-4.2315143839437970e-02	4.2858071339270325e-02	-5.6067022858504172e-04	3.4124755216613893e-02	-1.3844752384039127e-21	3.4124755216613893e-02	-3.4124755216613893e-02
26                      	6.1487039679236681e-02	3.1713072794241522e-02	2.9773966884995163e-02	-1.8777417981942592e-03	4.2574011759822054e-02	-4.4451753558016303e-02	4.3512882658919179e-02	9.6955295462317851e-04	3.1748210030455526e-02	-9.3195158504114331e-22	3.1748210030455526e-02	-3.1748210030455526e-02
27                      	5.7938384405808188e-02	3.0798185464731353e-02	2.7140198941076835e-02	-3.5422274564502585e-03	4.1568331964163312e-02	-4.5110559420613573e-02	4.3339445692388442e-02	1.8289932618272583e-03	2.9915897830449973e-02	-5.8984719030781460e-22	2.9915897830449973e-02	-2.9915897830449973e-02
28                      	4.9700457987199159e-02	2.7403014977985734e-02	2.2297443009213429e-02	-4.9440032355833104e-03	3.7123926811604459e-02	-4.2067930047187771e-02	3.9595928429396118e-02	2.5527859843861543e-03	2.5662327980318533e-02	-2.1980428731143858e-22	2.5662327980318533e-02	-2.5662327980318533e-02
29                      	4.1993454240552820e-02	2.3768485363246803e-02	1.8224968877306014e-02	-5.3680887490439302e-03	3.2271922945280654e-02	-3.7640011694324585e-02	3.4955967319802619e-02	2.7717582429703956e-03	2.1682894673226601e-02	2.3972587202129142e-22	2.1682894673226601e-02	-2.1682894673226601e-02
30                      	3.4652735874061882e-02	1.9998799012804536e-02	1.4653936861257344e-02	-5.1757209442197527e-03	2.7203823606011795e-02	-3.2379544550231544e-02	2.9791684078121671e-02	2.6724310757735951e-03	1.7892589111443712e-02	5.3793093511174589e-22	1.7892589111443712e-02	-1.7892589111443712e-02
31                      	2.7470981137087198e-02	1.5960812111239682e-02	1.1510169025847517e-02	-4.3097999497784881e-03	2.1728983382390321e-02	-2.6038783332168809e-02	2.3883883357279565e-02	2.2253215426960827e-03	1.4184362809345680e-02	6.0963904789798975e-22	1.4184362809345680e-02	-1.4184362809345680e-02
32                      	2.1628831731825889e-02	1.2467288885678102e-02	9.1615428461477872e-03	-3.2011338230894830e-03	1.6971294084402913e-02	-2.0172427907492397e-02	1.8571860995947657e-02	1.6528730197651578e-03	1.1167828149112708e-02	5.0384036647578813e-22	1.1167828149112708e-02	-1.1167828149112708e-02
33                      	1.8319774553860618e-02	1.0485669283310404e-02	7.8341052705502151e-03	-2.5676537591918288e-03	1.4248822321951056e-02	-1.6816476081142884e-02	1.5532649201546971e-02	1.3257820063800948e-03	9.4592299983986272e-03	4.3235594215110024e-22	9.4592299983986272e-03	-9.4592299983986272e-03
34                      	1.6664335862228919e-02	9.5865764371922402e-03	7.0777594250366789e-03	-2.4294240687329164e-03	1.2997126422682527e-02	-1.5426550491415444e-02	1.4211838457048985e-02	1.2544085060777802e-03	8.6044610007587272e-03	3.8443979391446333e-22	8.6044610007587272e-03	-8.6044610007587272e-03
