# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
49                      	-2.8618829256516344e-04	-5.7791251121617527e-04	2.9172421865101183e-04	8.4211658018784477e-04	-7.0990249171888023e-04	1.5520190719067249e-03	-1.1309607818128025e-03	-4.3481836493359355e-04	-1.4777042557286192e-04	1.6726065669614966e-23	-1.4777042557286192e-04	1.4777042557286192e-04
50                      	-4.8419459577098821e-05	-2.9480082675503890e-04	2.4638136717794007e-04	5.2405617513763113e-04	-3.5893694765537184e-04	8.8299312279300308e-04	-6.2096503522418741e-04	-2.7059109696648951e-04	-2.5000897428698186e-05	8.5916901006552791e-23	-2.5000897428698186e-05	2.5000897428698186e-05
51                      	3.3162758590438705e-04	6.7994361318824198e-05	2.6363322458556286e-04	1.8944775999880380e-04	1.0084123896371017e-04	8.8606521035093649e-05	6.1173589643082538e-06	-9.7819431633369339e-05	1.7123254435585990e-04	1.0574823860100809e-22	1.7123254435585990e-04	-1.7123254435585990e-04
52                      	1.0081092641491271e-03	6.5120167033333074e-04	3.5690759381579640e-04	-2.8498097283027044e-04	8.4765103642106012e-04	-1.1326320092513306e-03	9.9014152283619528e-04	1.4714703825876715e-04	5.2052700567177155e-04	1.0901192530000322e-22	5.2052700567177155e-04	-5.2052700567177155e-04
53                      	2.0118835342265067e-03	1.4786137420163905e-03	5.3326979221011604e-04	-9.1542800202759503e-04	1.9111544627515215e-03	-2.8265824647791165e-03	2.3688684637653188e-03	4.7267197490313725e-04	1.0388156810712020e-03	9.3695103061961382e-23	1.0388156810712020e-03	-1.0388156810712020e-03
54                      	3.1989585246523320e-03	2.4593028252905776e-03	7.3965569936175414e-04	-1.6652279130829743e-03	3.1707532532115057e-03	-4.8359811662944795e-03	4.0033672097529926e-03	8.5982356296441175e-04	1.6517498264544720e-03	7.9968313643775029e-23	1.6517498264544720e-03	-1.6517498264544720e-03
55                      	4.3224462541635224e-03	3.3926635540355941e-03	9.2978270012792849e-04	-2.3849415863789413e-03	4.3691674148086538e-03	-6.7541090011875946e-03	5.5616382079981246e-03	1.2314404269538326e-03	2.2318513338491393e-03	6.4705032867147393e-23	2.2318513338491393e-03	-2.2318513338491393e-03
56                      	5.1659763105443594e-03	4.1058265924504549e-03	1.0601497180939051e-03	-2.9492946947883045e-03	5.2840105525123211e-03	-8.2333052473006259e-03	6.7586578999064726e-03	1.5228384371782748e-03	2.6673995328954547e-03	9.2995771662246433e-23	2.6673995328954547e-03	-2.6673995328954547e-03
57                      	5.5851751514042342e-03	4.4725606745132079e-03	1.1126144768910263e-03	-3.2536187863050265e-03	5.7544425906356222e-03	-9.0080613769406483e-03	7.3812519837881353e-03	1.6799730988110910e-03	2.8838486075878091e-03	1.4282346680600929e-22	2.8838486075878091e-03	-2.8838486075878091e-03
58                      	5.6142385239254539e-03	4.5041270757841048e-03	1.1101114481413493e-03	-3.2866100698059602e-03	5.7973342210624291e-03	-9.0839442908683884e-03	7.4406392559654092e-03	1.6970078138213776e-03	2.8988551855562805e-03	2.0411342348646395e-22	2.8988551855562805e-03	-2.8988551855562805e-03
