# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
19                      	smoothSolver	1.4057589556440370e-01	1.3726483055127910e-02	4	1.7153992020031750e-01	1.6727056010648271e-02	4	false	smoothSolver	3.1593792045196738e-02	1.2005968827154281e-03	2	true	smoothSolver	1.1814851397756640e-02	4.2782529505124440e-04	2	true	GAMG	5.7686875104668613e-02	4.0888472314186486e-03	3	true
20                      	smoothSolver	1.3363152942112461e-01	9.5596928813755314e-03	5	1.6786119691802981e-01	1.6609164063395920e-02	4	false	smoothSolver	3.3122400620285618e-02	1.8382916649281381e-03	2	true	smoothSolver	1.1413495159113151e-02	4.9724927667611643e-04	2	true	GAMG	5.6690657909700487e-02	4.0486471314273628e-03	3	true
21                      	smoothSolver	1.2687463127893839e-01	9.3958997646394135e-03	5	1.6124211244245570e-01	1.6104696737432391e-02	4	false	smoothSolver	3.2750198607675293e-02	1.2431066624233279e-03	2	true	smoothSolver	1.0301247901489599e-02	4.6468572935679691e-04	2	true	GAMG	5.6119069703145917e-02	4.0006182919820306e-03	3	true
22                      	smoothSolver	1.1997705745659420e-01	8.9605277150882866e-03	5	1.4938221670384341e-01	1.0058099080115970e-02	5	false	smoothSolver	3.2166279843837547e-02	9.9388474261145367e-04	2	true	smoothSolver	8.7890162124965084e-03	4.6467498491644001e-04	2	true	GAMG	5.5331728479807607e-02	3.8828705700246469e-03	3	true
23                      	smoothSolver	1.1430480829883780e-01	8.9482836061524941e-03	5	1.3867441388696561e-01	9.3061259657147115e-03	5	false	smoothSolver	2.9847267760310100e-02	9.7763822587111247e-04	2	true	smoothSolver	7.4609907826418374e-03	3.5509643294799397e-04	2	true	GAMG	5.5272250666016258e-02	3.9557281334579308e-03	3	true
24                      	smoothSolver	1.0831630660637710e-01	8.6011940899850606e-03	5	1.2670601601211071e-01	8.6960534647793353e-03	5	false	smoothSolver	3.0390596500828770e-02	1.0873879933504999e-03	2	true	smoothSolver	6.8338020697575079e-03	3.3949488244232058e-04	2	true	GAMG	5.3394338313611671e-02	4.0372204821923470e-03	3	true
25                      	smoothSolver	1.0250944104928610e-01	7.5285754480879140e-03	5	1.1927269318545140e-01	8.0520227749037599e-03	5	false	smoothSolver	2.9899362429820331e-02	1.3897968466304530e-03	2	true	smoothSolver	6.3215832187748459e-03	2.7924828587737560e-04	2	true	GAMG	5.2168594738039038e-02	4.0628843455828307e-03	3	true
26                      	smoothSolver	9.6704326522166151e-02	6.7016022426517469e-03	5	1.1503196219703060e-01	7.9017497724291532e-03	5	false	smoothSolver	2.9967303490003299e-02	1.1024369961388000e-03	2	true	smoothSolver	5.3190579478603504e-03	2.1597151920469719e-04	2	true	GAMG	5.4519920782534897e-02	4.2074812366447098e-03	3	true
27                      	smoothSolver	9.2496742736802126e-02	6.6645834527153331e-03	5	1.1616089938452891e-01	7.7941577458912831e-03	5	false	smoothSolver	2.0234295178905910e-02	6.8124126084120743e-04	2	true	smoothSolver	4.4047432418541990e-03	1.8914275682601440e-04	2	true	GAMG	5.7764727676970072e-02	4.1920673240418991e-03	3	true
28                      	smoothSolver	8.8733501477866947e-02	6.8076387926335616e-03	5	1.0893470085693220e-01	7.8615452773588869e-03	5	false	smoothSolver	2.1340554795729501e-02	8.7637830216919269e-04	2	true	smoothSolver	4.1088967650064296e-03	1.9155701053355850e-04	2	true	GAMG	5.8584399374754341e-02	3.9649336067166712e-03	3	true
29                      	smoothSolver	8.7200188550357841e-02	6.7755969585915300e-03	5	1.0571797494763240e-01	8.0305158062837067e-03	5	false	smoothSolver	1.8735665860888279e-02	8.9302964313554042e-04	2	true	smoothSolver	3.8263830180924612e-03	1.5747601175895721e-04	2	true	GAMG	5.7435822655076151e-02	3.8666596552833841e-03	3	true
30                      	smoothSolver	8.4982409345849955e-02	6.6846184228922922e-03	5	1.0210340747463920e-01	8.2036223209499652e-03	5	false	smoothSolver	1.6845588847900710e-02	8.4503013574911223e-04	2	true	smoothSolver	3.3011208479212760e-03	1.4469747784721411e-04	2	true	GAMG	5.7749712525084353e-02	3.8786079591705712e-03	3	true
31                      	smoothSolver	8.2205499155820538e-02	6.6894511932521720e-03	5	1.0053367193162220e-01	8.3864286873575229e-03	5	false	smoothSolver	1.5532947317081471e-02	9.1123194337710482e-04	2	true	smoothSolver	2.8655274784577939e-03	1.3680313900686121e-04	2	true	GAMG	5.6073163452832933e-02	3.6121691324942770e-03	3	true
32                      	smoothSolver	8.0289439092227591e-02	6.6999428835153377e-03	5	1.0408578933017590e-01	8.6023074171456670e-03	5	false	smoothSolver	1.4504734389363271e-02	8.8554026563944250e-04	2	true	smoothSolver	2.5741076944364302e-03	1.2454411965678500e-04	2	true	GAMG	5.5189186724015647e-02	3.4403545028824029e-03	3	true
33                      	smoothSolver	7.9293254363959814e-02	6.7075831608379424e-03	5	1.0812818158475521e-01	9.0141030791300557e-03	5	false	smoothSolver	1.3282333029938481e-02	8.6353699086363814e-04	2	true	smoothSolver	2.3901778960681011e-03	1.2046342827102031e-04	2	true	GAMG	5.4312776510325650e-02	3.2388152861985570e-03	3	true
