# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
59                      	3.4848501021622395e-02	6.6949590031984377e-02	-3.2101089010361974e-02	-9.5916163882778516e-02	7.8336680430652408e-02	-1.7425284431343091e-01	1.2629476237204165e-01	4.9525339521173176e-02	1.7993670462144871e-02	-4.3578206941275762e-21	1.7993670462144871e-02	-1.7993670462144871e-02
60                      	2.9778469547844334e-02	6.3561727417785444e-02	-3.3783257869941116e-02	-9.4264447778621432e-02	7.3869617126110981e-02	-1.6813406490473240e-01	1.2100184101542169e-01	4.8672492643863280e-02	1.5375811073723562e-02	-3.8737734145714842e-21	1.5375811073723562e-02	-1.5375811073723562e-02
61                      	2.4422585361657718e-02	6.0005615451309037e-02	-3.5583030089651316e-02	-9.2563688403588279e-02	6.9181576500210826e-02	-1.6174526490379912e-01	1.1546342070200497e-01	4.7794322770480180e-02	1.2610354533143532e-02	-3.1960911687054257e-21	1.2610354533143532e-02	-1.2610354533143532e-02
62                      	1.9199263880842622e-02	5.6595586664795326e-02	-3.7396322783952704e-02	-9.1017481934547256e-02	6.4679759669937484e-02	-1.5569724160448475e-01	1.1018850063721111e-01	4.6995954724374012e-02	9.9133454025265681e-03	-2.5543371394465148e-21	9.9133454025265681e-03	-9.9133454025265681e-03
63                      	1.5048324272436525e-02	5.4582122846659767e-02	-3.9533798574223240e-02	-9.1137569477184141e-02	6.1878860585208161e-02	-1.5301643006239229e-01	1.0744764532380023e-01	4.7057960710441507e-02	7.7700497877286751e-03	-1.9948423621693493e-21	7.7700497877286751e-03	-7.7700497877286751e-03
64                      	1.2443786182298244e-02	5.4716592719130736e-02	-4.2272806536832498e-02	-9.3920114469382268e-02	6.1675068023280440e-02	-1.5559518249266271e-01	1.0863512525797157e-01	4.8494699627981613e-02	6.4252229307291521e-03	-1.5481353885308870e-21	6.4252229307291521e-03	-6.4252229307291521e-03
65                      	1.0702321417908734e-02	5.5828960505824379e-02	-4.5126639087915657e-02	-9.7760802138242203e-02	6.2661712914045486e-02	-1.6042251505228769e-01	1.1154211398316657e-01	5.0477799796870018e-02	5.5260352419267359e-03	-1.1660556671880437e-21	5.5260352419267359e-03	-5.5260352419267359e-03
66                      	9.0881129090513921e-03	5.6734051674173905e-02	-4.7645938765122520e-02	-1.0107682618488843e-01	6.3413222972061339e-02	-1.6449004915694979e-01	1.1395163606450556e-01	5.2189995219648212e-02	4.6925550314709779e-03	-8.5286165617849355e-22	4.6925550314709779e-03	-4.6925550314709779e-03
67                      	7.3375586851959955e-03	5.6960301111390589e-02	-4.9622742426194598e-02	-1.0321016241297817e-01	6.3374934206941569e-02	-1.6658509661991977e-01	1.1498001541343067e-01	5.3291521768792594e-02	3.7886740923560969e-03	-5.9755452784442444e-22	3.7886740923560969e-03	-3.7886740923560969e-03
68                      	5.4291934233078156e-03	5.6297317246637404e-02	-5.0868123823329593e-02	-1.0377412964370238e-01	6.2335554065483557e-02	-1.6610968370918594e-01	1.1422261888733475e-01	5.3582720534983495e-02	2.8033090224922697e-03	-3.8281203449310986e-22	2.8033090224922697e-03	-2.8033090224922697e-03
69                      	3.3930832843110455e-03	5.4820302895874647e-02	-5.1427219611563602e-02	-1.0288525913694951e-01	6.0382375040150878e-02	-1.6326763417710038e-01	1.1182500460862564e-01	5.3123761253719121e-02	1.7519841794808690e-03	-2.3754534455209907e-22	1.7519841794808690e-03	-1.7519841794808690e-03
70                      	1.3564441780111816e-03	5.2552725232320616e-02	-5.1196281054309435e-02	-1.0046580988515430e-01	5.7568684612656205e-02	-1.5803449449781051e-01	1.0780158955523335e-01	5.1874503143315029e-02	7.0038620956133074e-04	-1.5870520883782865e-22	7.0038620956133074e-04	-7.0038620956133074e-04
71                      	-4.8206104881501691e-04	4.9763089007396337e-02	-5.0245150056211357e-02	-9.6843421371721305e-02	5.4221774974630890e-02	-1.5106519634635218e-01	1.0264348566049154e-01	5.0004119531803851e-02	-2.4890733893062844e-04	-1.1435989479851476e-22	-2.4890733893062844e-04	2.4890733893062844e-04
72                      	-1.9541809277663384e-03	4.6827165522483720e-02	-4.8781346450250063e-02	-9.2582926150811859e-02	5.0785119516555371e-02	-1.4336804566736724e-01	9.7076582591961308e-02	4.7804255986366888e-02	-1.0090215247943854e-03	-8.8343953822786230e-23	-1.0090215247943854e-03	1.0090215247943854e-03
73                      	-3.1415301842670452e-03	4.3735935992269555e-02	-4.6877466176536597e-02	-8.7745889441945280e-02	4.7228255388867192e-02	-1.3497414483081246e-01	9.1101200109839825e-02	4.5306701084403080e-02	-1.6220972846869074e-03	-6.2060376406307567e-23	-1.6220972846869074e-03	1.6220972846869074e-03
74                      	-4.0073107885295221e-03	4.0671378680607884e-02	-4.4678689469137396e-02	-8.2649116626019273e-02	4.3748817832751377e-02	-1.2639793445877068e-01	8.5073376145761007e-02	4.2675034074872643e-02	-2.0691343287178596e-03	-4.6715283322309463e-23	-2.0691343287178596e-03	2.0691343287178596e-03
75                      	-4.2573999806443429e-03	3.8341926113908673e-02	-4.2599326094553025e-02	-7.8379820176548487e-02	4.1151768296286993e-02	-1.1953158847283549e-01	8.0341678384561230e-02	4.0470626104230849e-02	-2.1982653494830237e-03	-6.8787741585874229e-23	-2.1982653494830237e-03	2.1982653494830237e-03
76                      	-3.9810682294534839e-03	3.6801253881066844e-02	-4.0782322110520325e-02	-7.5128399536157187e-02	3.9482566638705863e-02	-1.1461096617486304e-01	7.7046766406784456e-02	3.8791787995793581e-02	-2.0555842491949386e-03	-1.0528320439164191e-22	-2.0555842491949386e-03	2.0555842491949386e-03
77                      	-3.1867917001106427e-03	3.6570854963721477e-02	-3.9757646663832122e-02	-7.3913042715289257e-02	3.9314866972640986e-02	-1.1322790968793026e-01	7.6271388330285614e-02	3.8164250813776800e-02	-1.6454676098610506e-03	-1.5304017800391358e-22	-1.6454676098610506e-03	1.6454676098610506e-03
78                      	-2.2506341997865376e-03	3.6899701950113648e-02	-3.9150336149900176e-02	-7.3643391324696883e-02	3.9774645750491083e-02	-1.1341803707518797e-01	7.6596341412839525e-02	3.8025019050006915e-02	-1.1620921685172308e-03	-2.5696750820774679e-22	-1.1620921685172308e-03	1.1620921685172308e-03
79                      	-1.3093945355208479e-03	3.7429426288472345e-02	-3.8738820823993200e-02	-7.3757859545615312e-02	4.0452844039397653e-02	-1.1421070358501297e-01	7.7331773812205309e-02	3.8084123556232773e-02	-6.7609260330815017e-04	-3.2610681912041429e-22	-6.7609260330815017e-04	6.7609260330815017e-04
80                      	-4.3436860002341921e-04	3.7906056434498285e-02	-3.8340425034521702e-02	-7.3833618131392706e-02	4.1060765185492690e-02	-1.1489438331688540e-01	7.7977574251189050e-02	3.8123240734509990e-02	-2.2428182615588234e-04	-3.7962442933342354e-22	-2.2428182615588234e-04	2.2428182615588234e-04
81                      	4.4814024535204801e-04	3.8135747515290544e-02	-3.7687607269938500e-02	-7.3423881532532043e-02	4.1386293721585116e-02	-1.1481017525411716e-01	7.8098234487851137e-02	3.7911677392614522e-02	2.3139267570465274e-04	-4.5672492103791766e-22	2.3139267570465274e-04	-2.3139267570465274e-04
82                      	1.4800992476567741e-03	3.8265781482559630e-02	-3.6785682234902847e-02	-7.2676417397289597e-02	4.1606468467601611e-02	-1.1428288586489121e-01	7.7944677166246409e-02	3.7525731858731239e-02	7.6423425205807323e-04	-6.2353642353746261e-22	7.6423425205807323e-04	-7.6423425205807323e-04
83                      	2.5261551243599863e-03	3.8387225252620394e-02	-3.5861070128260404e-02	-7.1898665780219959e-02	4.1820407110530367e-02	-1.1371907289075033e-01	7.7769740000640339e-02	3.7124147690440402e-02	1.3043546066956809e-03	-7.3407957499331664e-22	1.3043546066956809e-03	-1.3043546066956809e-03
84                      	3.3659936194779822e-03	3.8281369682762155e-02	-3.4915376063284168e-02	-7.0880393032563896e-02	4.1761206210119431e-02	-1.1264159924268333e-01	7.7201402726401372e-02	3.6598372873023158e-02	1.7379967054820993e-03	-8.1270017540843547e-22	1.7379967054820993e-03	-1.7379967054820993e-03
