# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	3.9495190657786600e-01	3.1023432260598283e-01	8.4717583971883170e-02	-2.1838013298112197e-01	3.9927382891234375e-01	-6.1765396189346566e-01	5.0846389540290482e-01	1.1275836931704983e-01	2.0392941581471524e-01	1.1021009834844863e-20	2.0392941581471524e-01	-2.0392941581471524e-01
2                       	6.2713865763466811e-02	5.6681757432345305e-02	6.0321083311215074e-03	-4.9046812104349635e-02	7.2453601139891341e-02	-1.2150041324424098e-01	9.6977007192066159e-02	2.5324824550611899e-02	3.2381669250417515e-02	-3.4173560178153959e-22	3.2381669250417515e-02	-3.2381669250417515e-02
3                       	-7.2596712724948859e-02	-3.9334613629633232e-02	-3.3262099095315620e-02	5.8803463528518613e-03	-5.1760108464152896e-02	5.7640454817004756e-02	-5.4700281640578829e-02	-3.0362572671588030e-03	-3.7484577158633736e-02	7.4516105031406509e-21	-3.7484577158633736e-02	3.7484577158633736e-02
4                       	-1.3839898621525101e-01	-8.7190947505634692e-02	-5.1208038709616321e-02	3.4844209150574755e-02	-1.1346108549907279e-01	1.4830529464964753e-01	-1.3088319007436017e-01	-1.7991454398009189e-02	-7.1460914451011950e-02	6.3879456518882068e-21	-7.1460914451011950e-02	7.1460914451011950e-02
5                       	-9.9690462382155953e-02	-6.3918421113828519e-02	-3.5772041268327427e-02	2.7255671622542211e-02	-8.3144498729054300e-02	1.1040017035159652e-01	-9.6772334540325411e-02	-1.4073189922750549e-02	-5.1474160314969417e-02	4.5795522083439341e-21	-5.1474160314969417e-02	5.1474160314969417e-02
6                       	-3.3897109963153323e-02	-2.3719055098886870e-02	-1.0178054864266452e-02	1.3112487568967875e-02	-3.0991448744546003e-02	4.4103936313513878e-02	-3.7547692529029938e-02	-6.7705001173102080e-03	-1.7502429327379825e-02	-7.9524215424984706e-22	-1.7502429327379825e-02	1.7502429327379825e-02
7                       	2.3745485909499164e-03	-1.7173895836468771e-03	4.0919381745967934e-03	5.6254882722233043e-03	-2.4353676976087359e-03	8.0608559698320398e-03	-5.2481118337203876e-03	-2.9046638791218353e-03	1.2260741090525723e-03	-4.0955339181620700e-21	1.2260741090525723e-03	-1.2260741090525723e-03
8                       	2.9981069262695341e-03	-1.2941658242494943e-03	4.2922727505190286e-03	5.4096525439214192e-03	-1.9355842628336162e-03	7.3452368067550350e-03	-4.6404105347943253e-03	-2.7932192873842614e-03	1.5480421384006090e-03	-2.9331664944681146e-21	1.5480421384006090e-03	-1.5480421384006090e-03
9                       	4.4583214094575810e-03	4.7831987965724255e-04	3.9800015298003385e-03	3.3908689396955254e-03	2.1540451606781978e-04	3.1754644236277052e-03	-1.4800299537799429e-03	-1.7508408250715478e-03	2.3020090937722133e-03	-1.3904819129915112e-21	2.3020090937722133e-03	-2.3020090937722133e-03
10                      	8.5410327933383417e-03	4.5420289570228334e-03	3.9990038363155091e-03	-5.2584078144443213e-04	5.3840694996316538e-03	-5.9099102810760851e-03	5.6469898903538695e-03	2.7151256035366170e-04	4.4100757560374430e-03	-7.4599020420463671e-24	4.4100757560374430e-03	-4.4100757560374430e-03
